ReactionID	Flux	Equation	EC	Kcat_MW	E
R508_num4	0.0	C20OACP_c + h_c + nadph_c --> C20HACP_c + nadp_c	1.1.1.100,1.1.1.-	2411.841	0.0
R507_num6	0.0	C180ACP_c + h_c + malACP_c --> ACP_c + C20OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	1627.676	0.0
R508_num2	0.0	C20OACP_c + h_c + nadph_c --> C20HACP_c + nadp_c	1.1.1.100,1.1.1.-	3614.833	0.0
R507_num13	0.0	C180ACP_c + h_c + malACP_c --> ACP_c + C20OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	929.524	0.0
R507_num12	0.0	C180ACP_c + h_c + malACP_c --> ACP_c + C20OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	353.036	0.0
R507_num11	0.0	C180ACP_c + h_c + malACP_c --> ACP_c + C20OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	343.98	0.0
R507_num10	0.0	C180ACP_c + h_c + malACP_c --> ACP_c + C20OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	113.753	0.0
R507_num9	0.0	C180ACP_c + h_c + malACP_c --> ACP_c + C20OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	240.666	0.0
R507_num8	0.0	C180ACP_c + h_c + malACP_c --> ACP_c + C20OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	251.031	0.0
R507_num7	0.0	C180ACP_c + h_c + malACP_c --> ACP_c + C20OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	557.646	0.0
R507_num5	0.0	C180ACP_c + h_c + malACP_c --> ACP_c + C20OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	716.749	0.0
R503_num11	0.0	C18OACP_c + h_c + nadph_c --> C18HACP_c + nadp_c	1.1.1.100,2.3.1.-	929.524	0.0
R507_num4	0.0	C180ACP_c + h_c + malACP_c --> ACP_c + C20OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	2411.841	0.0
R507_num3	0.0	C180ACP_c + h_c + malACP_c --> ACP_c + C20OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	1200.119	0.0
R507_num2	0.0	C180ACP_c + h_c + malACP_c --> ACP_c + C20OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	3614.833	0.0
R505_num5	0.0	C18DACP_c + h_c + nadph_c --> C180ACP_c + nadp_c	1.3.1.9	113.753	0.0
R505_num4	0.0	C18DACP_c + h_c + nadph_c --> C180ACP_c + nadp_c	1.3.1.9	240.666	0.0
R505_num3	0.0	C18DACP_c + h_c + nadph_c --> C180ACP_c + nadp_c	1.3.1.9	3142.345	0.0
R505_num2	0.0	C18DACP_c + h_c + nadph_c --> C180ACP_c + nadp_c	1.3.1.9	2078.497	0.0
R504_num2	0.0	C18HACP_c --> C18DACP_c + h2o_c	4.2.1.59,4.2.1.-	113.753	0.0
R499_num4	0.0	C16HACP_c --> C16DACP_c + h2o_c	2.3.1.85,2.3.1.86,2.3.1.-,4.2.1.59	113.753	0.0
R499_num3	0.0	C16HACP_c --> C16DACP_c + h2o_c	2.3.1.85,2.3.1.86,2.3.1.-,4.2.1.59	240.666	0.0
R499_num2	0.0	C16HACP_c --> C16DACP_c + h2o_c	2.3.1.85,2.3.1.86,2.3.1.-,4.2.1.59	538.954	0.0
R494_num3	0.0	C14HACP_c --> C14DACP_c + h2o_c	2.3.1.85,2.3.1.86,2.3.1.-,4.2.1.59	240.666	0.0
R497_num3	0.0	C140ACP_c + h_c + malACP_c --> 3opalmACP_c + ACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	1200.119	0.0
R497_num2	0.0	C140ACP_c + h_c + malACP_c --> 3opalmACP_c + ACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	3614.833	0.0
R495_num5	0.0	C14DACP_c + h_c + nadph_c --> C140ACP_c + nadp_c	1.3.1.10,1.3.1.39,1.3.1.104,1.3.1.-	4008.264	0.0
R495_num4	0.0	C14DACP_c + h_c + nadph_c --> C140ACP_c + nadp_c	1.3.1.10,1.3.1.39,1.3.1.104,1.3.1.-	113.753	0.0
R495_num3	0.0	C14DACP_c + h_c + nadph_c --> C140ACP_c + nadp_c	1.3.1.10,1.3.1.39,1.3.1.104,1.3.1.-	240.666	0.0
R495_num2	0.0	C14DACP_c + h_c + nadph_c --> C140ACP_c + nadp_c	1.3.1.10,1.3.1.39,1.3.1.104,1.3.1.-	538.954	0.0
R494_num5	0.0	C14HACP_c --> C14DACP_c + h2o_c	2.3.1.85,2.3.1.86,2.3.1.-,4.2.1.59	4008.264	0.0
R494_num4	0.0	C14HACP_c --> C14DACP_c + h2o_c	2.3.1.85,2.3.1.86,2.3.1.-,4.2.1.59	113.753	0.0
R494_num2	0.0	C14HACP_c --> C14DACP_c + h2o_c	2.3.1.85,2.3.1.86,2.3.1.-,4.2.1.59	538.954	0.0
R498_num13	0.0	3opalmACP_c + h_c + nadph_c --> C16HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	929.524	0.0
R493_num13	0.0	C14OACP_c + h_c + nadph_c --> C14HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	929.524	0.0
R493_num12	0.0	C14OACP_c + h_c + nadph_c --> C14HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	353.036	0.0
R493_num11	0.0	C14OACP_c + h_c + nadph_c --> C14HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	343.98	0.0
R493_num10	0.0	C14OACP_c + h_c + nadph_c --> C14HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	113.753	0.0
R493_num9	0.0	C14OACP_c + h_c + nadph_c --> C14HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	240.666	0.0
R493_num8	0.0	C14OACP_c + h_c + nadph_c --> C14HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	251.031	0.0
R493_num7	0.0	C14OACP_c + h_c + nadph_c --> C14HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	557.646	0.0
R493_num6	0.0	C14OACP_c + h_c + nadph_c --> C14HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	1627.676	0.0
R497_num4	0.0	C140ACP_c + h_c + malACP_c --> 3opalmACP_c + ACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	2411.841	0.0
R497_num5	0.0	C140ACP_c + h_c + malACP_c --> 3opalmACP_c + ACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	716.749	0.0
R497_num6	0.0	C140ACP_c + h_c + malACP_c --> 3opalmACP_c + ACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	1627.676	0.0
R497_num7	0.0	C140ACP_c + h_c + malACP_c --> 3opalmACP_c + ACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	557.646	0.0
R498_num12	0.0	3opalmACP_c + h_c + nadph_c --> C16HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	353.036	0.0
R498_num11	0.0	3opalmACP_c + h_c + nadph_c --> C16HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	343.98	0.0
R498_num10	0.0	3opalmACP_c + h_c + nadph_c --> C16HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	113.753	0.0
R498_num9	0.0	3opalmACP_c + h_c + nadph_c --> C16HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	240.666	0.0
R498_num8	0.0	3opalmACP_c + h_c + nadph_c --> C16HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	251.031	0.0
R498_num7	0.0	3opalmACP_c + h_c + nadph_c --> C16HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	557.646	0.0
R498_num6	0.0	3opalmACP_c + h_c + nadph_c --> C16HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	1627.676	0.0
R498_num5	0.0	3opalmACP_c + h_c + nadph_c --> C16HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	716.749	0.0
R498_num4	0.0	3opalmACP_c + h_c + nadph_c --> C16HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	2411.841	0.0
R498_num3	0.0	3opalmACP_c + h_c + nadph_c --> C16HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	1200.119	0.0
R498_num2	0.0	3opalmACP_c + h_c + nadph_c --> C16HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	3614.833	0.0
R497_num13	0.0	C140ACP_c + h_c + malACP_c --> 3opalmACP_c + ACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	929.524	0.0
R497_num12	0.0	C140ACP_c + h_c + malACP_c --> 3opalmACP_c + ACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	353.036	0.0
R497_num11	0.0	C140ACP_c + h_c + malACP_c --> 3opalmACP_c + ACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	343.98	0.0
R497_num10	0.0	C140ACP_c + h_c + malACP_c --> 3opalmACP_c + ACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	113.753	0.0
R497_num9	0.0	C140ACP_c + h_c + malACP_c --> 3opalmACP_c + ACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	240.666	0.0
R497_num8	0.0	C140ACP_c + h_c + malACP_c --> 3opalmACP_c + ACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	251.031	0.0
R508_num3	0.0	C20OACP_c + h_c + nadph_c --> C20HACP_c + nadp_c	1.1.1.100,1.1.1.-	1200.119	0.0
R508_num5	0.0	C20OACP_c + h_c + nadph_c --> C20HACP_c + nadp_c	1.1.1.100,1.1.1.-	716.749	0.0
R524_num11	0.0	C9OACP_c + h_c + nadph_c --> C9HACP_c + nadp_c	1.1.1.100,1.1.1.-	929.524	0.0
R519_num5	0.0	C7OACP_c + h_c + nadph_c --> C7HACP_c + nadp_c	1.1.1.100,1.1.1.-	716.749	0.0
R521_num3	0.0	C7DACP_c + h_c + nadph_c --> C70ACP_c + nadp_c	1.3.1.9	3142.345	0.0
R521_num2	0.0	C7DACP_c + h_c + nadph_c --> C70ACP_c + nadp_c	1.3.1.9	2078.497	0.0
R519_num11	0.0	C7OACP_c + h_c + nadph_c --> C7HACP_c + nadp_c	1.1.1.100,1.1.1.-	929.524	0.0
R519_num10	0.0	C7OACP_c + h_c + nadph_c --> C7HACP_c + nadp_c	1.1.1.100,1.1.1.-	343.98	0.0
R519_num9	0.0	C7OACP_c + h_c + nadph_c --> C7HACP_c + nadp_c	1.1.1.100,1.1.1.-	113.753	0.0
R519_num8	0.0	C7OACP_c + h_c + nadph_c --> C7HACP_c + nadp_c	1.1.1.100,1.1.1.-	240.666	0.0
R519_num7	0.0	C7OACP_c + h_c + nadph_c --> C7HACP_c + nadp_c	1.1.1.100,1.1.1.-	251.031	0.0
R519_num6	0.0	C7OACP_c + h_c + nadph_c --> C7HACP_c + nadp_c	1.1.1.100,1.1.1.-	1627.676	0.0
R519_num4	0.0	C7OACP_c + h_c + nadph_c --> C7HACP_c + nadp_c	1.1.1.100,1.1.1.-	2411.841	0.0
R521_num5	0.0	C7DACP_c + h_c + nadph_c --> C70ACP_c + nadp_c	1.3.1.9	113.753	0.0
R519_num3	0.0	C7OACP_c + h_c + nadph_c --> C7HACP_c + nadp_c	1.1.1.100,1.1.1.-	1200.119	0.0
R519_num2	0.0	C7OACP_c + h_c + nadph_c --> C7HACP_c + nadp_c	1.1.1.100,1.1.1.-	3614.833	0.0
R518_num13	0.0	C50ACP_c + h_c + malACP_c --> ACP_c + C7OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	929.524	0.0
R518_num12	0.0	C50ACP_c + h_c + malACP_c --> ACP_c + C7OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	353.036	0.0
R518_num11	0.0	C50ACP_c + h_c + malACP_c --> ACP_c + C7OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	343.98	0.0
R518_num10	0.0	C50ACP_c + h_c + malACP_c --> ACP_c + C7OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	113.753	0.0
R518_num9	0.0	C50ACP_c + h_c + malACP_c --> ACP_c + C7OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	240.666	0.0
R518_num8	0.0	C50ACP_c + h_c + malACP_c --> ACP_c + C7OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	251.031	0.0
R521_num4	0.0	C7DACP_c + h_c + nadph_c --> C70ACP_c + nadp_c	1.3.1.9	240.666	0.0
R523_num2	0.0	C70ACP_c + h_c + malACP_c --> ACP_c + C9OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	3614.833	0.0
R508_num6	0.0	C20OACP_c + h_c + nadph_c --> C20HACP_c + nadp_c	1.1.1.100,1.1.1.-	1627.676	0.0
R523_num13	0.0	C70ACP_c + h_c + malACP_c --> ACP_c + C9OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	929.524	0.0
R524_num9	0.0	C9OACP_c + h_c + nadph_c --> C9HACP_c + nadp_c	1.1.1.100,1.1.1.-	113.753	0.0
R524_num8	0.0	C9OACP_c + h_c + nadph_c --> C9HACP_c + nadp_c	1.1.1.100,1.1.1.-	240.666	0.0
R524_num7	0.0	C9OACP_c + h_c + nadph_c --> C9HACP_c + nadp_c	1.1.1.100,1.1.1.-	251.031	0.0
R524_num6	0.0	C9OACP_c + h_c + nadph_c --> C9HACP_c + nadp_c	1.1.1.100,1.1.1.-	1627.676	0.0
R524_num5	0.0	C9OACP_c + h_c + nadph_c --> C9HACP_c + nadp_c	1.1.1.100,1.1.1.-	716.749	0.0
R524_num4	0.0	C9OACP_c + h_c + nadph_c --> C9HACP_c + nadp_c	1.1.1.100,1.1.1.-	2411.841	0.0
R524_num3	0.0	C9OACP_c + h_c + nadph_c --> C9HACP_c + nadp_c	1.1.1.100,1.1.1.-	1200.119	0.0
R524_num2	0.0	C9OACP_c + h_c + nadph_c --> C9HACP_c + nadp_c	1.1.1.100,1.1.1.-	3614.833	0.0
R523_num12	0.0	C70ACP_c + h_c + malACP_c --> ACP_c + C9OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	353.036	0.0
R523_num3	0.0	C70ACP_c + h_c + malACP_c --> ACP_c + C9OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	1200.119	0.0
R523_num11	0.0	C70ACP_c + h_c + malACP_c --> ACP_c + C9OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	343.98	0.0
R523_num10	0.0	C70ACP_c + h_c + malACP_c --> ACP_c + C9OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	113.753	0.0
R523_num9	0.0	C70ACP_c + h_c + malACP_c --> ACP_c + C9OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	240.666	0.0
R523_num8	0.0	C70ACP_c + h_c + malACP_c --> ACP_c + C9OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	251.031	0.0
R523_num7	0.0	C70ACP_c + h_c + malACP_c --> ACP_c + C9OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	557.646	0.0
R523_num6	0.0	C70ACP_c + h_c + malACP_c --> ACP_c + C9OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	1627.676	0.0
R523_num5	0.0	C70ACP_c + h_c + malACP_c --> ACP_c + C9OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	716.749	0.0
R523_num4	0.0	C70ACP_c + h_c + malACP_c --> ACP_c + C9OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	2411.841	0.0
R518_num7	0.0	C50ACP_c + h_c + malACP_c --> ACP_c + C7OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	557.646	0.0
R518_num6	0.0	C50ACP_c + h_c + malACP_c --> ACP_c + C7OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	1627.676	0.0
R518_num5	0.0	C50ACP_c + h_c + malACP_c --> ACP_c + C7OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	716.749	0.0
R510_num5	0.0	C20DACP_c + h_c + nadph_c --> C200ACP_c + nadp_c	1.3.1.9	113.753	0.0
R513_num8	0.0	PROPACP_c + malACP_c --> ACP_c + C5OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	251.031	0.0
R513_num7	0.0	PROPACP_c + malACP_c --> ACP_c + C5OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	557.646	0.0
R513_num6	0.0	PROPACP_c + malACP_c --> ACP_c + C5OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	1627.676	0.0
R513_num5	0.0	PROPACP_c + malACP_c --> ACP_c + C5OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	716.749	0.0
R513_num4	0.0	PROPACP_c + malACP_c --> ACP_c + C5OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	2411.841	0.0
R513_num3	0.0	PROPACP_c + malACP_c --> ACP_c + C5OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	1200.119	0.0
R513_num2	0.0	PROPACP_c + malACP_c --> ACP_c + C5OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	3614.833	0.0
R512_num2	0.0	ACP_c + ppcoa_c --> PROPACP_c + coa_c	2.3.1.38	113.753	0.0
R510_num4	0.0	C20DACP_c + h_c + nadph_c --> C200ACP_c + nadp_c	1.3.1.9	240.666	0.0
R518_num4	0.0	C50ACP_c + h_c + malACP_c --> ACP_c + C7OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	2411.841	0.0
R510_num3	0.0	C20DACP_c + h_c + nadph_c --> C200ACP_c + nadp_c	1.3.1.9	3142.345	0.0
R510_num2	0.0	C20DACP_c + h_c + nadph_c --> C200ACP_c + nadp_c	1.3.1.9	2078.497	0.0
R509_num2	0.0	C20HACP_c --> C20DACP_c + h2o_c	4.2.1.59,4.2.1.-	113.753	0.0
R508_num11	0.0	C20OACP_c + h_c + nadph_c --> C20HACP_c + nadp_c	1.1.1.100,1.1.1.-	929.524	0.0
R508_num10	0.0	C20OACP_c + h_c + nadph_c --> C20HACP_c + nadp_c	1.1.1.100,1.1.1.-	343.98	0.0
R508_num9	0.0	C20OACP_c + h_c + nadph_c --> C20HACP_c + nadp_c	1.1.1.100,1.1.1.-	113.753	0.0
R508_num8	0.0	C20OACP_c + h_c + nadph_c --> C20HACP_c + nadp_c	1.1.1.100,1.1.1.-	240.666	0.0
R508_num7	0.0	C20OACP_c + h_c + nadph_c --> C20HACP_c + nadp_c	1.1.1.100,1.1.1.-	251.031	0.0
R513_num9	0.0	PROPACP_c + malACP_c --> ACP_c + C5OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	240.666	0.0
R513_num10	0.0	PROPACP_c + malACP_c --> ACP_c + C5OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	113.753	0.0
R513_num11	0.0	PROPACP_c + malACP_c --> ACP_c + C5OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	343.98	0.0
R513_num12	0.0	PROPACP_c + malACP_c --> ACP_c + C5OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	353.036	0.0
R518_num3	0.0	C50ACP_c + h_c + malACP_c --> ACP_c + C7OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	1200.119	0.0
R518_num2	0.0	C50ACP_c + h_c + malACP_c --> ACP_c + C7OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	3614.833	0.0
R516_num5	0.0	C5DACP_c + h_c + nadph_c --> C50ACP_c + nadp_c	1.3.1.9	113.753	0.0
R516_num4	0.0	C5DACP_c + h_c + nadph_c --> C50ACP_c + nadp_c	1.3.1.9	240.666	0.0
R516_num3	0.0	C5DACP_c + h_c + nadph_c --> C50ACP_c + nadp_c	1.3.1.9	3142.345	0.0
R516_num2	0.0	C5DACP_c + h_c + nadph_c --> C50ACP_c + nadp_c	1.3.1.9	2078.497	0.0
R514_num11	0.0	C5OACP_c + h_c + nadph_c --> C5HACP_c + nadp_c	1.1.1.100,1.1.1.-	929.524	0.0
R514_num10	0.0	C5OACP_c + h_c + nadph_c --> C5HACP_c + nadp_c	1.1.1.100,1.1.1.-	343.98	0.0
R514_num9	0.0	C5OACP_c + h_c + nadph_c --> C5HACP_c + nadp_c	1.1.1.100,1.1.1.-	113.753	0.0
R514_num8	0.0	C5OACP_c + h_c + nadph_c --> C5HACP_c + nadp_c	1.1.1.100,1.1.1.-	240.666	0.0
R514_num7	0.0	C5OACP_c + h_c + nadph_c --> C5HACP_c + nadp_c	1.1.1.100,1.1.1.-	251.031	0.0
R514_num6	0.0	C5OACP_c + h_c + nadph_c --> C5HACP_c + nadp_c	1.1.1.100,1.1.1.-	1627.676	0.0
R514_num5	0.0	C5OACP_c + h_c + nadph_c --> C5HACP_c + nadp_c	1.1.1.100,1.1.1.-	716.749	0.0
R514_num4	0.0	C5OACP_c + h_c + nadph_c --> C5HACP_c + nadp_c	1.1.1.100,1.1.1.-	2411.841	0.0
R514_num3	0.0	C5OACP_c + h_c + nadph_c --> C5HACP_c + nadp_c	1.1.1.100,1.1.1.-	1200.119	0.0
R514_num2	0.0	C5OACP_c + h_c + nadph_c --> C5HACP_c + nadp_c	1.1.1.100,1.1.1.-	3614.833	0.0
R513_num13	0.0	PROPACP_c + malACP_c --> ACP_c + C5OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	929.524	0.0
R493_num5	0.0	C14OACP_c + h_c + nadph_c --> C14HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	716.749	0.0
R493_num4	0.0	C14OACP_c + h_c + nadph_c --> C14HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	2411.841	0.0
R493_num3	0.0	C14OACP_c + h_c + nadph_c --> C14HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	1200.119	0.0
R473_num13	0.0	C6OACP_c + h_c + nadph_c --> C6HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	929.524	0.0
R475_num5	0.0	C6DACP_c + h_c + nadph_c --> C60ACP_c + nadp_c	1.3.1.10,1.3.1.39,1.3.1.104,1.3.1.-	4008.264	0.0
R475_num4	0.0	C6DACP_c + h_c + nadph_c --> C60ACP_c + nadp_c	1.3.1.10,1.3.1.39,1.3.1.104,1.3.1.-	113.753	0.0
R475_num3	0.0	C6DACP_c + h_c + nadph_c --> C60ACP_c + nadp_c	1.3.1.10,1.3.1.39,1.3.1.104,1.3.1.-	240.666	0.0
R475_num2	0.0	C6DACP_c + h_c + nadph_c --> C60ACP_c + nadp_c	1.3.1.10,1.3.1.39,1.3.1.104,1.3.1.-	538.954	0.0
R474_num5	0.0	C6HACP_c --> C6DACP_c + h2o_c	2.3.1.85,2.3.1.86,2.3.1.-,4.2.1.59	4008.264	0.0
R474_num4	0.0	C6HACP_c --> C6DACP_c + h2o_c	2.3.1.85,2.3.1.86,2.3.1.-,4.2.1.59	113.753	0.0
R474_num3	0.0	C6HACP_c --> C6DACP_c + h2o_c	2.3.1.85,2.3.1.86,2.3.1.-,4.2.1.59	240.666	0.0
R474_num2	0.0	C6HACP_c --> C6DACP_c + h2o_c	2.3.1.85,2.3.1.86,2.3.1.-,4.2.1.59	538.954	0.0
R473_num12	0.0	C6OACP_c + h_c + nadph_c --> C6HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	353.036	0.0
R477_num3	0.0	C60ACP_c + h_c + malACP_c --> ACP_c + C8OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	1200.119	0.0
R473_num11	0.0	C6OACP_c + h_c + nadph_c --> C6HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	343.98	0.0
R473_num10	0.0	C6OACP_c + h_c + nadph_c --> C6HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	113.753	0.0
R473_num9	0.0	C6OACP_c + h_c + nadph_c --> C6HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	240.666	0.0
R473_num8	0.0	C6OACP_c + h_c + nadph_c --> C6HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	251.031	0.0
R473_num7	0.0	C6OACP_c + h_c + nadph_c --> C6HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	557.646	0.0
R473_num6	0.0	C6OACP_c + h_c + nadph_c --> C6HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	1627.676	0.0
R473_num5	0.0	C6OACP_c + h_c + nadph_c --> C6HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	716.749	0.0
R473_num4	0.0	C6OACP_c + h_c + nadph_c --> C6HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	2411.841	0.0
R477_num2	0.0	C60ACP_c + h_c + malACP_c --> ACP_c + C8OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	3614.833	0.0
R477_num4	0.0	C60ACP_c + h_c + malACP_c --> ACP_c + C8OACP_c + co2_c	2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179	2411.841	0.0
R493_num2	0.0	C14OACP_c + h_c + nadph_c --> C14HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	3614.833	0.0
R478_num3	0.0	C8OACP_c + h_c + nadph_c --> C8HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	1200.119	0.0
R478_num11	0.0	C8OACP_c + h_c + nadph_c --> C8HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	343.98	0.0
R478_num10	0.0	C8OACP_c + h_c + nadph_c --> C8HACP_c + nadp_c	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86	113.753	0.0
